n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
74,31,43,0.7944486121530382,0.7097725303538229,0.6732933233308327,0.6621621621621622,0.575,0.7419354838709677,0.6046511627906976,0.647887323943662,0.3431290174496294,0.186379256998743,23,26,17,8,ECFP_StateCore,4,4
74,31,43,0.7951987996999249,0.7691949680440764,0.6481620405101276,0.6486486486486487,0.5714285714285714,0.6451612903225806,0.6511627906976745,0.6060606060606061,0.2928300861299223,0.1838355629167946,20,28,15,11,ECFP_FluxCore,4,4
74,31,43,0.7846961740435109,0.6912125461254511,0.6920480120030008,0.6891891891891891,0.6111111111111112,0.7096774193548387,0.6744186046511628,0.6567164179104478,0.3791506785631245,0.18562475266540898,22,29,14,9,ECFP_StateFluxCore,4,4
76,32,44,0.8110795454545454,0.7914437941567904,0.7102272727272727,0.7236842105263158,0.6896551724137931,0.625,0.7954545454545454,0.6557377049180327,0.42733892325157874,0.1853267970272477,20,35,9,12,ECFP,5,0
76,32,44,0.7407670454545454,0.7641807590930321,0.6803977272727273,0.6842105263157895,0.6176470588235294,0.65625,0.7045454545454546,0.6363636363636364,0.35825996666924814,0.20456044927288636,21,31,13,11,ECFP_StateCore,5,0
76,32,44,0.7315340909090909,0.7317976777058972,0.6278409090909092,0.618421052631579,0.5365853658536586,0.6875,0.5681818181818182,0.6027397260273972,0.25326502699597403,0.21186986653932519,22,25,19,10,ECFP_FluxCore,5,0
76,32,44,0.6995738636363636,0.7366128958811525,0.5880681818181819,0.5921052631578947,0.5142857142857142,0.5625,0.6136363636363636,0.5373134328358209,0.17447146304167102,0.21668298948989864,18,27,17,14,ECFP_StateFluxCore,5,0
74,31,43,0.8402100525131283,0.8129184494737239,0.7850712678169542,0.7972972972972973,0.7857142857142857,0.7096774193548387,0.8604651162790697,0.7457627118644068,0.5800168175181294,0.16786087599763624,22,37,6,9,ECFP,5,1
74,31,43,0.8094523630907726,0.7814809726307357,0.7663165791447861,0.7702702702702703,0.71875,0.7419354838709677,0.7906976744186046,0.7301587301587301,0.530449005662496,0.17609884813101617,23,34,9,8,ECFP_StateCore,5,1
74,31,43,0.7929482370592649,0.7592607818881223,0.7198049512378095,0.7162162162162162,0.6388888888888888,0.7419354838709677,0.6976744186046512,0.6865671641791045,0.4339498000742011,0.18473485170227125,23,30,13,8,ECFP_FluxCore,5,1
74,31,43,0.7906976744186047,0.7523692126948703,0.6901725431357839,0.7027027027027027,0.6551724137931034,0.6129032258064516,0.7674418604651163,0.6333333333333333,0.38440376156822986,0.18383195053557153,19,33,10,12,ECFP_StateFluxCore,5,1
76,31,45,0.7627240143369176,0.6939617663973615,0.7164874551971325,0.7236842105263158,0.65625,0.6774193548387096,0.7555555555555555,0.6666666666666666,0.430971456386925,0.19218524965827133,21,34,11,10,ECFP,5,2
76,31,45,0.7727598566308244,0.6799045910301407,0.7164874551971325,0.7236842105263158,0.65625,0.6774193548387096,0.7555555555555555,0.6666666666666666,0.430971456386925,0.18869043000999086,21,34,11,10,ECFP_StateCore,5,2
76,31,45,0.7627240143369175,0.6536815428420896,0.700358422939068,0.7105263157894737,0.6451612903225806,0.6451612903225806,0.7555555555555555,0.6451612903225806,0.4007168458781362,0.19146944223969659,20,34,11,11,ECFP_FluxCore,5,2
76,31,45,0.7677419354838709,0.6645915994679632,0.7164874551971325,0.7236842105263158,0.65625,0.6774193548387096,0.7555555555555555,0.6666666666666666,0.430971456386925,0.18736671442862143,21,34,11,10,ECFP_StateFluxCore,5,2
76,31,45,0.8229390681003584,0.7623532018670068,0.7387096774193549,0.75,0.7,0.6774193548387096,0.8,0.6885245901639344,0.48000701257149575,0.17408527866068155,21,36,9,10,ECFP,5,3
76,31,45,0.8422939068100358,0.7568151652473343,0.8082437275985663,0.8026315789473685,0.7222222222222222,0.8387096774193549,0.7777777777777778,0.7761194029850746,0.6067783845564657,0.16402310203662618,26,35,10,5,ECFP_StateCore,5,3
76,31,45,0.8329749103942653,0.7821508712015237,0.7376344086021505,0.7368421052631579,0.6571428571428571,0.7419354838709677,0.7333333333333333,0.696969696969697,0.4685980468182169,0.1667757540601562,23,33,12,8,ECFP_FluxCore,5,3
76,31,45,0.8365591397849462,0.7542576431253316,0.7598566308243728,0.7631578947368421,0.696969696969697,0.7419354838709677,0.7777777777777778,0.71875,0.5152994809874625,0.16331947583404807,23,35,10,8,ECFP_StateFluxCore,5,3
74,31,43,0.8049512378094524,0.7742839410897294,0.6597899474868717,0.6621621621621622,0.5882352941176471,0.6451612903225806,0.6744186046511628,0.6153846153846154,0.3163916914145934,0.1815147945951851,20,29,14,11,ECFP,5,4
74,31,43,0.8117029257314329,0.7612202641748732,0.6732933233308327,0.6621621621621622,0.575,0.7419354838709677,0.6046511627906976,0.647887323943662,0.3431290174496294,0.181874472859837,23,26,17,8,ECFP_StateCore,5,4
74,31,43,0.7771942985746436,0.7581500718966324,0.6706676669167291,0.6486486486486487,0.5555555555555556,0.8064516129032258,0.5348837209302325,0.6578947368421053,0.34497773474071913,0.20151478675601237,25,23,20,6,ECFP_FluxCore,5,4
